584,7,,,,,,
Team1,Team2,Venue,Home Team,Start Time,Toss winner,Toss winner's decision,Match Winner
Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Kings XI Punjab,bat,Royal Challengers Bangalore
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Team 1,4pm,Chennai Super Kings,bat,Chennai Super Kings
Mumbai Indians,Deccan Chargers,Brabourne Stadium,Team 1,8pm,Mumbai Indians,bat,Mumbai Indians
Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Team 1,4pm,Kolkata Knight Riders,bat,Kings XI Punjab
Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Team 1,8pm,Delhi Daredevils,bat,Delhi Daredevils
Deccan Chargers,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha",Team 1,8pm,Rajasthan Royals,bat,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Chennai Super Kings,bat,Chennai Super Kings
Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Team 1,4pm,Kings XI Punjab,bat,Rajasthan Royals
Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,bat,Kolkata Knight Riders
Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Team 1,8pm,Deccan Chargers,field,Deccan Chargers
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Team 1,8pm,Mumbai Indians,bat,Kings XI Punjab
Deccan Chargers,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha",Team 1,4pm,Chennai Super Kings,bat,Deccan Chargers
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Team 1,8pm,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Team 1,4pm,Delhi Daredevils,bat,Kings XI Punjab
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Team 1,8pm,Rajasthan Royals,field,Mumbai Indians
Deccan Chargers,Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Jamtha",Team 1,8pm,Royal Challengers Bangalore,field,Deccan Chargers
Mumbai Indians,Delhi Daredevils,Brabourne Stadium,Team 1,4pm,Mumbai Indians,bat,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Kolkata Knight Riders,bat,Chennai Super Kings
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Team 1,8pm,Rajasthan Royals,bat,Royal Challengers Bangalore
Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Chennai Super Kings,bat,Delhi Daredevils
Kings XI Punjab,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,Team 1,8pm,Deccan Chargers,field,Deccan Chargers
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Team 1,4pm,Royal Challengers Bangalore,field,Mumbai Indians
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Team 1,8pm,Rajasthan Royals,bat,Kolkata Knight Riders
Kings XI Punjab,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,Team 1,4pm,Chennai Super Kings,field,Chennai Super Kings
Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Team 1,8pm,Deccan Chargers,bat,Deccan Chargers
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Team 1,8pm,Mumbai Indians,bat,Kolkata Knight Riders
Royal Challengers Bangalore,Mumbai Indians,Dr DY Patil Sports Academy,NA,8pm,Mumbai Indians,bat,Mumbai Indians
Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,Team 2,8pm,Chennai Super Kings,bat,Chennai Super Kings
Royal Challengers Bangalore,Deccan Chargers,Dr DY Patil Sports Academy,Team 2,8pm,Deccan Chargers,bat,Royal Challengers Bangalore
Chennai Super Kings,Mumbai Indians,Dr DY Patil Sports Academy,NA,8pm,Chennai Super Kings,bat,Chennai Super Kings
Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Team 1,8pm,Chennai Super Kings,bat,Chennai Super Kings
Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Team 1,4pm,Rajasthan Royals,field,Rajasthan Royals
Kochi Tuskers Kerala,Royal Challengers Bangalore,Nehru Stadium,Team 1,8pm,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore
Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Team 1,4pm,Delhi Daredevils,bat,Mumbai Indians
Pune Warriors,Kings XI Punjab,Dr DY Patil Sports Academy,Team 1,8pm,Kings XI Punjab,bat,Pune Warriors
Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Team 1,8pm,Kolkata Knight Riders,bat,Kolkata Knight Riders
Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Team 1,4pm,Delhi Daredevils,bat,Rajasthan Royals
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Team 1,8pm,Mumbai Indians,field,Mumbai Indians
Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Team 1,4pm,Kings XI Punjab,field,Kings XI Punjab
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,Team 1,8pm,Kochi Tuskers Kerala,bat,Pune Warriors
Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Royal Challengers Bangalore,field,Deccan Chargers
Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Team 1,4pm,Kolkata Knight Riders,field,Kolkata Knight Riders
Mumbai Indians,Kochi Tuskers Kerala,Wankhede Stadium,Team 1,8pm,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Team 1,4pm,Chennai Super Kings,bat,Chennai Super Kings
Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Team 1,8pm,Kings XI Punjab,field,Kings XI Punjab
Pune Warriors,Delhi Daredevils,Dr DY Patil Sports Academy,Team 1,4pm,Delhi Daredevils,field,Delhi Daredevils
