Team Name,Player Name,Role,Matches Played,Batting Average,Batting Strike Rate,Bowling Average,Bowling Economy,Bowling Strike Rate
Rising Pune Supergiants,Average,,,19.8525,109.8595,27.09588235,8.4955,20.83470588
,,,,,,,,
Royal Challengers Bangalore,Virat Kohli,Batsman,139,38.05,130.43,92,8.79,62.75
Royal Challengers Bangalore,Varun Aaron,Bowler,36,14,93.33,34.06,8.75,23.35
Royal Challengers Bangalore,Abu Nechim,Bowler,10,14,233.33,43.28,8.57,30.28
Royal Challengers Bangalore,Sreenath Aravind,Bowler,28,0,158.82,19.1,7.94,14.42
Royal Challengers Bangalore,Samuel Badree,Bowler,5,0,0,65.5,7.27,54
Royal Challengers Bangalore,Stuart Binny,Allrounder,72,21.5,130.3,37.11,7.51,29.64
Royal Challengers Bangalore,Yuzvendra Chahal,Bowler,43,0,100,22.07,7.97,16.6
Royal Challengers Bangalore,AB de Villiers,Batsman,120,39.24,149.33,0,0,0
Royal Challengers Bangalore,Chris Gayle,Allrounder,92,43.36,153.28,40.22,7.91,30.5
Royal Challengers Bangalore,Travis Head,Batsman,3,27,135,0,0,0
Royal Challengers Bangalore,Iqbal Abdulla,Bowler,47,41.5,107.79,27.73,7.1,23.42
Royal Challengers Bangalore,Kedar Jadhav,Batsman,51,24.07,131.51,0,0,0
Royal Challengers Bangalore,Sarfaraz Khan,Batsman,18,29.5,173.52,0,0,0
Royal Challengers Bangalore,Vikramjeet Malik,Bowler,13,7,100,43.5,7.63,34.16
Royal Challengers Bangalore,Mandeep Singh,Allrounder,59,20.53,124.36,23,7.66,18
Royal Challengers Bangalore,Adam Milne,Bowler,1,0,0,43,10.75,24
Royal Challengers Bangalore,Harshal Patel,Bowler,35,5.22,138.23,29.93,8.44,21.25
Royal Challengers Bangalore,Lokesh Rahul,Batsman,39,30.2,125.64,0,0,0
Royal Challengers Bangalore,Parveez Rasool,Bowler,11,8.5,85,67.75,8.21,49.5
Royal Challengers Bangalore,Kane Richardson,Bowler,14,12,92.3,24.61,8.38,17.61
Royal Challengers Bangalore,Sachin Baby,Batsman,15,20.33,141.86,4,4.8,5
Royal Challengers Bangalore,Mitchell Starc,Bowler,27,13.71,97.95,20.38,7.16,17.05
